product_name,model_code,monthly_price_text,original_price_text,discount_text,detail_url,image_url,image_local_path,page_number
เครื่องอบผ้า Heat Pump™ RV10VHP4B จุ 10 กก.,RV10VHP4B,฿374,฿749,Subscription,https://www.lg.com/th/laundry/dryer/rv10vhp4b/lgsubscribe,https://www.lg.com/content/dam/channel/wcms/th/image-update/washing-machine/2024/rv10vhp4b-bmbpeth/rv10vhp4b/450.jpg/jcr:content/renditions/thum-350x350.jpeg,images_all_pages\RV10VHP4B.jpg,1
WashTower ซักผ้า 21 กก. และอบ 16 กก. รุ่น WT2116SHEG ระบบ AI DD™ พร้อม Smart WI-FI control ควบคุมสั่งงานผ่านสมาร์ทโฟน,WT2116SHEG,฿874,"฿1,749",Subscription,https://www.lg.com/th/laundry/wash-tower/wt2116sheg/lgsubscribe,https://www.lg.com/content/dam/channel/wcms/th/images/washing-machine/wt2116sheg_abgpeth_eath_th_c/WT2116SHEG_ABGPETH_EATH_TH_C-350x350.jpg,images_all_pages\WT2116SHEG.jpg,1
เครื่องซักผ้า 13 กก. / อบ 8 กก. รุ่น FV1413H4M ระบบ AI DD™ พร้อม Smart WI-FI control ควบคุมสั่งงานผ่านสมาร์ทโฟน,FV1413H4M,฿324,฿649,Subscription,https://www.lg.com/th/laundry/front-load-washing-machine/fv1413h4m/lgsubscribe,https://www.lg.com/content/dam/channel/wcms/th/images/washing-machine/fv1413h4m_ambpeth_eath_th_c/450.jpg/jcr:content/renditions/thum-350x350.jpeg,images_all_pages\FV1413H4M.jpg,1
"แอร์อินเวอร์เตอร์ 12,200 BTU LG DUALCOOL AI Air รุ่น SEQ",SEQ13A,฿349,฿699,Subscription,https://www.lg.com/th/air-conditioner-inverter/air-conditioner-with-air-purifier/seq13a/lgsubscribe,https://www.lg.com/content/dam/channel/wcms/th/image-update/air-conditioner/2025/image-with-icon/seq/RAC2025-Web-Thumbnail_SEQ-450X450.jpg/jcr:content/renditions/thum-350x350.jpeg,images_all_pages\SEQ13A.jpg,1
"แอร์อินเวอร์เตอร์ 12,000 BTU LG DUALCOOL AI Air รุ่น SAQ",SAQ13A,฿424,฿849,Subscription,https://www.lg.com/th/air-conditioner-inverter/energy-saving-air-conditioner/saq13a/lgsubscribe,https://www.lg.com/content/dam/channel/wcms/th/image-update/air-conditioner/2025/image-with-icon/saq/RAC2025-Web-Thumbnail_SAQ-450X450.jpg/jcr:content/renditions/thum-350x350.jpeg,images_all_pages\SAQ13A.jpg,1
"แอร์อินเวอร์เตอร์ 18,000 BTU LG DUALCOOL AI Air รุ่น SCQ",SCQ18A,฿524,"฿1,049",Subscription,https://www.lg.com/th/air-conditioner-inverter/wifi-air-air-conditioner/scq18a/lgsubscribe,https://www.lg.com/content/dam/channel/wcms/th/image-update/air-conditioner/2025/image-with-icon/scq/RAC2025-Web-Thumbnail_SCQ-450X450-Re.jpg/jcr:content/renditions/thum-350x350.jpeg,images_all_pages\SCQ18A.jpg,1
เครื่องฟอกอากาศ LG PuriCare AeroCat Tower รุ่น AS25GCBY0,AS25GCBY0,฿274,฿549,คำสั่งซื้อล่วงหน้า (Pre-Order) Subscription,https://www.lg.com/th/air-puricare/puricare-aerotower/as25gcby0/lgsubscribe,https://www.lg.com/content/dam/channel/wcms/th/image-update/air-puricare/2025/as25gcby0-abae/gallery/basic/air-purifier-aerocattower-2025-as207cbz0-gallery-basic-large.jpg/jcr:content/renditions/thum-350x350.jpeg,images_all_pages\AS25GCBY0.jpg,1
เครื่องฟอกอากาศ LG PuriCare 360 รุ่น AS10GDBY0 พร้อมฟังก์ชันสัตว์เลี้ยง,AS10GDBY0,฿574,"฿1,149",คำสั่งซื้อล่วงหน้า (Pre-Order) Subscription,https://www.lg.com/th/air-puricare/puricare-360/as10gdby0/lgsubscribe,https://www.lg.com/content/dam/channel/wcms/th/image-update/air-puricare/2024/as10gdby0-abae/gallery/1.-360Alpha_AS101DBY0_Front-off-450.jpg/jcr:content/renditions/thum-350x350.jpeg,images_all_pages\AS10GDBY0.jpg,1
เครื่องฟอกอากาศ LG PuriCare AeroBooster รุ่น AS55GGWX0,AS55GGWX0,฿324,฿649,คำสั่งซื้อล่วงหน้า (Pre-Order) Subscription,https://www.lg.com/th/air-puricare/puricare-360/as55ggwx0/lgsubscribe,https://www.lg.com/content/dam/channel/wcms/th/image-update/air-puricare/2025/as55ggwx0-ath/gallery/re-gallery/AP2025_AeroBooster-Web-Thumbnail_450x450.jpg/jcr:content/renditions/thum-350x350.jpeg,images_all_pages\AS55GGWX0.jpg,1
เครื่องฟอกอากาศ LG PuriCare 360 รุ่น AS65GDBY0 พร้อมฟังก์ชันสัตว์เลี้ยง,AS65GDBY0,฿374,฿749,Subscription,https://www.lg.com/th/air-puricare/puricare-360/as65gdby0/lgsubscribe,https://www.lg.com/content/dam/channel/wcms/th/image-update/air-puricare/2024/as65gdby0-abae/gallery/1.-360Alpha_AS651DBY0_Front-off-450.jpg/jcr:content/renditions/thum-350x350.jpeg,images_all_pages\AS65GDBY0.jpg,1
